Country_Code,SG.VAW.ARGU.ZS,SP.ADO.TFRT
BEN,10.6,88.8528
BGD,22.4,85.07535
CIV,34.3,135.37985
CMR,20.7,113.21335
COM,15.7,72.86415
DOM,0.7,100.20675
EGY,12.8,53.5192
ETH,45.4,65.3261
GAB,26.1,108.46145
GIN,77.6,144.773
GMB,24.1,114.9909
HND,4.8,68.1775
HTI,2.8,40.92745
IDN,5.7,50.941
JOR,6.3,25.26245
KGZ,16.8,40.4042
KHM,23.9,49.56305
LBR,33.1,116.0756
MLI,58.4,177.53715
MOZ,12.3,150.53285
NAM,11.5,78.88515
NER,50.4,206.8905
NGA,21.3,115.4198
NPL,0.5,75.01645
PAK,33.7,40.2381
PER,0.7,
PHL,3,58.26565
SEN,46.3,84.91725
SLE,47.6,124.15095
TGO,19.5,91.86905
TJK,40,39.19795
UGA,28.5,123.3865
YEM,19.9,64.75545
ZAR,57.7,124.0791
ZMB,33.5,100.3974
ZWE,15.6,112.44125
