Site,Date,EnteroCount,FourDayRainTotal,SampleCount
Hudson above Mohawk River,10/16/11,1733,1.5,35
Hudson above Mohawk River,10/21/13,4,0.2,35
Hudson above Mohawk River,9/21/13,20,0,35
Hudson above Mohawk River,8/19/13,6,0,35
Hudson above Mohawk River,7/21/13,31,0,35
Hudson above Mohawk River,6/4/13,238,1.2,35
Hudson above Mohawk River,10/15/12,23,1.4,35
Hudson above Mohawk River,9/15/12,11,0.1,35
Hudson above Mohawk River,8/18/12,15,0.3,35
Hudson above Mohawk River,7/21/12,6,0.2,35
Hudson above Mohawk River,6/16/12,10,0.2,35
Hudson above Mohawk River,5/20/12,11,0,35
Hudson above Mohawk River,6/24/13,30,1.4,35
Hudson above Mohawk River,9/19/11,11,0.1,35
Hudson above Mohawk River,8/21/11,231,0.4,35
Hudson above Mohawk River,7/14/11,11,0.3,35
Hudson above Mohawk River,7/2/11,11,2.1,35
Hudson above Mohawk River,5/19/11,91,1.6,35
Hudson above Mohawk River,10/16/10,2420,1.3,35
Hudson above Mohawk River,9/14/10,15,0,35
Hudson above Mohawk River,8/21/10,25,0.2,35
Hudson above Mohawk River,7/19/10,31,0.7,35
Hudson above Mohawk River,5/22/08,12,0.2,35
Hudson above Mohawk River,5/25/10,1,0,35
Hudson above Mohawk River,10/23/09,4,0,35
Hudson above Mohawk River,9/17/09,28,0,35
Hudson above Mohawk River,8/24/09,276,2.8,35
Hudson above Mohawk River,7/31/09,2420,1.9,35
Hudson above Mohawk River,5/15/09,6,0.5,35
Hudson above Mohawk River,10/23/08,1,0.3,35
Hudson above Mohawk River,9/18/08,6,0,35
Hudson above Mohawk River,8/9/08,41,1.5,35
Hudson above Mohawk River,7/17/08,15,0.1,35
Hudson above Mohawk River,6/19/08,12,1.4,35
Hudson above Mohawk River,6/18/10,23,0.2,35
Mohawk River at Waterford,6/18/10,479,0.2,35
Mohawk River at Waterford,7/21/12,2420,0.2,35
Mohawk River at Waterford,6/19/08,27,1.4,35
Mohawk River at Waterford,5/22/08,50,0.2,35
Mohawk River at Waterford,10/21/13,130,0.2,35
Mohawk River at Waterford,9/21/13,830,0,35
